,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,2026,career,pitcher,start_ratio,games
0,Stephen Strasburg\strasst01,31,10,Free Agency,9.118,Scott Boras,7 yrs/$245M (20-26),$35M,$35M,$35M,$35M,$35M,$35M,$35M,"[1.3, 0.9, 3.9000000000000004, 3.0, 3.1999999999999997, 1.9, 3.6999999999999997, 6.6000000000000005, 2.7, 6.4]",True,1.0,"[12.0, 5.0, 28.0, 30.0, 34.0, 23.0, 24.0, 28.0, 22.0, 33.0]"
1,Max Scherzer\scherma01,35,13,Free Agency,11.079,Scott Boras,7 yrs/$191.4M (15-21),$35.9M,$34.5M,FA,,,,,"[1.0, 1.6, 3.4, 1.2999999999999998, 4.300000000000001, 6.6, 5.7, 7.4, 6.3, 7.5, 9.200000000000001, 5.7]",True,1.0,"[16.0, 30.0, 31.0, 33.0, 32.0, 32.0, 33.0, 33.0, 34.0, 31.0, 33.0, 27.0]"
2,Patrick Corbin\corbipa01,30,8,Free Agency,7.105,ISE Baseball,6 yrs/$140M (19-24),$19.42M,$24.42M,$23.42M,$24.42M,$35.4M,FA,,"[0.5, 3.1, 1.4, -0.09999999999999998, 2.7, 4.2, 5.3999999999999995]",True,1.0,"[22.0, 32.0, 16.0, 36.0, 33.0, 33.0, 33.0]"
3,Adam Eaton\eatonad02,31,9,Traded,7.03,Diamond Sports Ma...,6 yrs/$33M (15-20) & 21 team option,$9.5M,$1.5M [FA-*],FA,,,,,"[0.7, -0.3, 5.2, 4.1, 6.6, 0.3, 1.1, 1.5]",False,,"[22.0, 66.0, 123.0, 153.0, 157.0, 23.0, 95.0, 151.0]"
4,Will Harris\harriwi10,35,9,Free Agency,6.102,Gavin Kahn,3 yrs/$24M (20-22),$8M,$8M,$8M,FA,,,,"[-0.5, 0.8, 0.1, 2.0, 1.6, 1.0, 0.8, 1.9]",True,0.0,"[20.0, 61.0, 29.0, 68.0, 66.0, 46.0, 61.0, 68.0]"
5,Sean Doolittle\doolise01,33,9,Traded,7.122000000000001,Jason Cook,7 yrs/$22.5M (14-20),$6.5M,FA,,,,,,"[0.8, 1.4, 1.2, 0.1, 0.9, 1.4, 2.5, 0.9]",True,0.0,"[44.0, 70.0, 61.0, 12.0, 44.0, 53.0, 43.0, 63.0]"
6,Anibal Sanchez\sanchan01,36,15,Free Agency,13.083,Mato Sports Manag...,2 yrs/$19M (19-20) & 21 team option,$7M,$6M [FA-*],FA,,,,,"[3.4000000000000004, 0.3, -0.4, 1.5, 2.8000000000000003, 3.7, 2.9, 6.1, 2.4, 0.1, -1.0, -0.7, 2.7, 3.3000000000000003]",True,1.0,"[18.0, 6.0, 10.0, 16.0, 32.0, 32.0, 31.0, 29.0, 22.0, 25.0, 35.0, 28.0, 25.0, 30.0]"
7,Starlin Castro\castrst01,30,11,Free Agency,9.15,Rep 1 Baseball,2 yrs/$12M (20-21),$5M,$7M,FA,,,,,"[1.6, 3.2, 3.5, -0.5, 2.4, 0.4, 1.2, 2.0, 2.1, 1.4]",False,,"[125.0, 158.0, 162.0, 161.0, 134.0, 151.0, 151.0, 112.0, 154.0, 162.0]"
8,Daniel Hudson\hudsoda01,33,11,Free Agency,9.106,Jet Sports Manage...,2 yrs/$11M (20-21),$5M,$6M,FA,,,,,"[0.4, 3.5999999999999996, 2.3, -0.8, -0.3, -0.2, -0.5, -0.1, -0.4, 2.0]",True,0.0,"[6.0, 14.0, 33.0, 9.0, 3.0, 64.0, 70.0, 71.0, 40.0, 69.0]"
9,Kurt Suzuki\suzukku01,36,14,Free Agency,12.113,MVP Sports Group,2 yrs/$10M (19-20),$6M,FA,,,,,,"[0.4, 3.8, 3.4, 2.2, 1.5, 0.30000000000000004, -0.10000000000000003, 2.6, 0.4, 0.3, 2.6, 2.1, 0.3]",False,,"[68.0, 148.0, 147.0, 131.0, 134.0, 118.0, 94.0, 131.0, 131.0, 106.0, 81.0, 105.0, 85.0]"
10,Yan Gomes\gomesya01,32,9,Free Agency,7.082999999999999,Jet Sports Manage...,2 yrs/$10M (20-21),$4M,$6M,FA,,,,,"[-0.1, 4.2, 4.1, 0.9, -0.8, 1.3, 2.6, 1.3]",False,,"[43.0, 88.0, 135.0, 95.0, 74.0, 105.0, 112.0, 97.0]"
11,Trea Turner\turnetr01,27,6,Traded,3.135,CAA Sports,1 yr/$7.45M (20),$7.45M,Arb,Arb,FA,,,,"[0.3, 3.4, 3.0, 4.1, 3.3]",False,,"[27.0, 73.0, 98.0, 162.0, 122.0]"
12,Howie Kendrick\kendrho01,36,15,Free Agency,13.091,Larry Reynolds,1 yr/$6.25M (20),$6.25M,FA,,,,,,"[1.5, 2.5, 1.9, 3.1, 2.4, 4.6, 2.9, 3.6, 6.1, 1.6, 0.6, 1.4000000000000001, 0.3, 2.5]",False,,"[72.0, 88.0, 92.0, 105.0, 158.0, 140.0, 147.0, 122.0, 157.0, 117.0, 146.0, 91.0, 40.0, 121.0]"
13,Eric Thames\thameer01,33,6,Free Agency,4.063,Sosnick Cobbe & K...,1 yr/$4M (20) & 21 mutual option,$3M,$1M [Arb-*],FA,,,,,"[0.5, -0.7, 1.0, 0.3, 1.6]",False,,"[95.0, 86.0, 138.0, 96.0, 149.0]"
14,Asdrubal Cabrera\cabreas01,34,14,Free Agency,12.027000000000001,Alan Nero,1 yr/$2.5M (20),$2.5M,FA,,,,,,"[1.6, 3.0, 4.2, 1.4, 4.7, 3.3, 1.3, 1.7000000000000002, 1.6, 3.3, 1.1, 1.0, 0.7]",False,,"[45.0, 114.0, 131.0, 97.0, 151.0, 143.0, 136.0, 146.0, 143.0, 141.0, 135.0, 147.0, 131.0]"
15,Ryan Zimmerman\zimmery01,35,15,Amateur Draft,14.032,CAA Sports,1 yr/$2M (20),$2M,FA,,,,,,"[0.6, 2.9, 4.7, 2.8, 7.3, 6.2, 1.9, 3.9, 3.4, 0.4, 0.8, -0.7, 2.6, 1.5, 0.2]",False,,"[20.0, 157.0, 162.0, 106.0, 157.0, 142.0, 101.0, 145.0, 147.0, 61.0, 95.0, 115.0, 144.0, 85.0, 52.0]"
16,Roenis Elias\eliasro01,31,6,Traded,4.069,ISE Baseball,1 yr/$1.98M (20),$1.98M,Arb,FA,,,,,"[0.7000000000000001, 1.1, -0.4, 0.0, 1.1, -0.3]",True,0.42857142857142855,"[29.0, 22.0, 3.0, 1.0, 23.0, 48.0]"
17,Joe Ross\rossjo01,27,5,Traded,4.018,Wasserman,1 yr/$1.5M (20),$1.5M,Arb,FA,,,,,"[1.2, 2.4, 0.4, 0.0, 0.0]",True,0.7307692307692307,"[16.0, 19.0, 13.0, 3.0, 27.0]"
18,Wilmer Difo\difowi01,28,5,Amateur Free Agent,3.016,,1 yr/$1M (20),$1M,Arb,Arb,FA,,,,"[-0.2, 0.2, 1.5, -0.6, -1.1]",False,,"[15.0, 31.0, 124.0, 148.0, 43.0]"
19,Josh Harrison\harrijo05,32,9,,7.167999999999999,Millenium Sports,1 yr/$100k (20),$100k,FA,,,,,,"[1.2, -0.1, 0.1, 5.6, 1.7, 2.0, 3.5, 0.5, -0.9]",False,,"[65.0, 104.0, 60.0, 143.0, 114.0, 131.0, 128.0, 97.0, 36.0]"
20,Welington Castillo\castiwe01,33,10,,7.104,ISE Baseball,1 yr/$100k (20),$100k,FA,,,,,,"[0.2, -0.1, 1.1, 4.0, 1.3, 1.0999999999999999, 2.2, 2.3, 0.5, -0.2]",False,,"[7.0, 4.0, 52.0, 113.0, 110.0, 110.0, 113.0, 96.0, 49.0, 72.0]"
21,Emilio Bonifacio\bonifem01,35,12,Free Agency,7.135,Gene Mato,,FA,,,,,,,"[0.0, 0.0, -0.7, 1.1, 2.7, 0.4, 0.5000000000000001, 1.2, -0.9, -0.4, -0.6]",False,,"[11.0, 49.0, 127.0, 73.0, 152.0, 64.0, 136.0, 110.0, 47.0, 24.0, 38.0]"
22,Aaron Barrett\barreaa01,32,3,Free Agency,2.17,Excel Sports Mana...,,,,Arb,Arb,FA,,,"[0.4, 0.0, -0.2]",True,0.0,"[50.0, 40.0, 3.0]"
23,Javy Guerra\guerrja01,34,10,Free Agency,4.145,Reynolds Sports M...,,Arb,,FA,,,,,"[1.4000000000000001, 1.2, -0.3, 1.1, 0.1, -0.1, 0.3, -1.0, 0.30000000000000004]",True,0.0,"[47.0, 45.0, 9.0, 42.0, 3.0, 7.0, 16.0, 32.0, 51.0]"
24,Michael A. Taylor\taylomi02,29,7,Amateur Draft,4.129,MVP Sports Group,,Arb (~$3.25M),,FA,,,,,"[-0.1, 0.4, -0.3, 2.8, 1.2, 0.0]",False,,"[17.0, 138.0, 76.0, 118.0, 134.0, 53.0]"
25,Sam Freeman\freemsa01,33,9,Free Agency,4.071000000000001,Reynolds Sports M...,,Arb,,FA,,,,,"[-0.3, 0.4, 0.5, 1.0, -0.3, 1.6, -0.1, 0.0]",True,0.0,"[24.0, 13.0, 44.0, 54.0, 7.0, 58.0, 63.0, 1.0]"
26,Kevin Quackenbush\quackke01,31,5,,3.043,Full Circle Sport...,,Arb,,Arb,FA,,,,"[1.0, 0.1, 0.5, -0.6, -0.5]",True,0.0,"[56.0, 57.0, 60.0, 20.0, 10.0]"
27,Adrian Sanchez\sanchad01,29,3,Amateur Free Agent,1.083,,,,,Arb,Arb,Arb,FA,,"[0.2, 0.1, -0.1]",False,,"[34.0, 28.0, 28.0]"
28,Brandon Snyder\snydebr03,33,6,,2.063,,,,,Arb,Arb,FA,,,"[0.0, -0.1, 0.2, -0.4, 0.1, 0.1]",False,,"[10.0, 6.0, 40.0, 27.0, 37.0, 2.0]"
29,Juan Soto\sotoju01,21,2,Amateur Free Agent,1.1340000000000001,,,,,Arb,Arb,Arb,FA,,"[2.9, 4.6]",False,,"[116.0, 150.0]"
30,Wander Suero\suerowa01,28,2,Amateur Free Agent,1.123,,,,,Arb,Arb,Arb,FA,,"[0.8, 0.7]",True,0.0,"[40.0, 78.0]"
31,Erick Fedde\feddeer01,27,4,Amateur Draft,1.099,,,,,Arb,Arb,Arb,FA,,"[-0.5, 0.19999999999999998, 1.0]",True,1.0,"[3.0, 11.0, 21.0]"
32,Andrew Stevenson\stevean01,26,4,Amateur Draft,1.063,,,,,Arb,Arb,Arb,FA,,"[-0.5, -0.2, 0.2]",False,,"[37.0, 57.0, 30.0]"
33,Victor Robles\roblevi01,23,4,Amateur Free Agent,1.052,Republik Sports,,,,Arb,Arb,Arb,FA,,"[0.0, 0.4, 4.1]",False,,"[13.0, 21.0, 155.0]"
34,Austen Williams\williau01,27,2,Amateur Draft,1.03,,,,,Arb,Arb,Arb,FA,,"[0.0, -0.3]",True,0.0,"[10.0, 2.0]"
35,Ryne Harper\harpery01,31,2,Traded,1.02,,,,,Arb,Arb,Arb,FA,,[0.6],True,0.0,[61.0]
36,Carlos Tocci\toccica01,24,1st,,1.0,,,,,Arb,Arb,Arb,FA,,[-1.5],False,,[66.0]
37,Tanner Rainey\raineta01,27,3,Traded,0.158,,,,,Arb,Arb,Arb,Arb,FA,"[-1.0, 0.6]",True,0.0,"[8.0, 52.0]"
38,Austin Voth\vothau01,28,2,Amateur Draft,0.127,,,,,,Arb,Arb,Arb,FA,"[-0.1, 1.2]",True,0.7692307692307693,"[4.0, 9.0]"
39,Kyle McGowin\mcgowky01,28,2,Traded,0.069,,,,,,Arb,Arb,Arb,FA,"[0.0, -0.5]",True,0.16666666666666666,"[5.0, 7.0]"
40,Raudy Read\readra01,26,2,Amateur Free Agent,0.063,,,,,,Arb,Arb,Arb,FA,"[0.0, -0.2]",False,,"[8.0, 6.0]"
41,Paolo Espino\espinpa01,33,1st,,0.059000000000000004,,,,,,Arb,Arb,Arb,FA,[-0.1],True,0.16666666666666666,[12.0]
42,Rafael Bautista\bautira01,27,2,Free Agency,0.05,Wasserman,,,,,Arb,Arb,Arb,FA,"[-0.2, -0.2]",False,,"[17.0, 9.0]"
43,Jake Noll\nollja01,26,1st,Amateur Draft,0.017,,,,,,Arb,Arb,Arb,FA,[-0.2],False,,[8.0]
44,Tres Barrera\barretr01,25,1st,Amateur Draft,0.022000000000000002,,,,,,Arb,Arb,Arb,FA,[-0.1],False,,[2.0]
45,Carter Kieboom\kieboca01,22,2,Amateur Draft,0.012,,,,,,Arb,Arb,Arb,FA,[-1.0],False,,[11.0]
46,James Bourque\bourqja01,26,2,Amateur Draft,0.005,,,,,,Arb,Arb,Arb,FA,[-0.1],True,0.0,[1.0]
